Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),test_set
Elastic Net,2.134,6.5703,2.555,0.0341,0.6464,0.5865,0.051,"(2, 4, 16)"
Lasso Regression,2.135,6.5851,2.5579,0.0324,0.6477,0.5878,0.054,"(2, 4, 16)"
Lasso Least Angle Regression,2.135,6.5851,2.5579,0.0324,0.6477,0.5878,0.052,"(2, 4, 16)"
Dummy Regressor,2.198,7.0348,2.6421,-0.0286,0.6614,0.618,0.053,"(2, 4, 16)"
Decision Tree Regressor,2.2265,9.5206,3.0494,-0.4037,0.7631,0.6447,0.051,"(2, 4, 16)"
K Neighbors Regressor,2.28,7.8466,2.7869,-0.1574,0.6783,0.6185,0.052,"(2, 4, 16)"
Passive Aggressive Regressor,4.0159,28.4959,4.9309,-2.8798,0.9146,1.0475,0.052,"(2, 4, 16)"
Least Angle Regression,11465.3088,1057672166.2093,13619.8124,-123163509.9838,4.2506,2523.5241,0.052,"(2, 4, 16)"
Extra Trees Regressor,1.8277,5.2524,2.2727,0.2533,0.5677,0.498,0.136,"(2, 4, 17)"
Linear Regression,1.8835,5.5102,2.3259,0.2092,0.558,0.5047,0.055,"(2, 4, 17)"
Light Gradient Boosting Machine,1.8984,5.688,2.3622,0.1935,0.5853,0.5202,0.075,"(2, 4, 17)"
Random Forest Regressor,1.9011,5.6608,2.3554,0.1996,0.585,0.5232,0.224,"(2, 4, 17)"
Gradient Boosting Regressor,1.9287,6.0531,2.4274,0.1455,0.5954,0.5141,0.162,"(2, 4, 17)"
Ridge Regression,2.0063,6.0998,2.4464,0.1345,0.612,0.5378,0.055,"(2, 4, 17)"
AdaBoost Regressor,2.0993,6.5223,2.5317,0.0761,0.6232,0.5501,0.099,"(2, 4, 17)"
Huber Regressor,2.122,6.6801,2.5653,0.0472,0.6331,0.5606,0.061,"(2, 4, 17)"
Orthogonal Matching Pursuit,2.132,6.7002,2.5741,0.0399,0.6406,0.5674,0.055,"(2, 4, 17)"
Bayesian Ridge,2.152,6.8363,2.6025,0.021,0.6441,0.5781,0.056,"(2, 4, 17)"
Lasso Regression,2.1659,6.9353,2.6208,0.0075,0.6475,0.5877,0.056,"(2, 4, 17)"
Lasso Least Angle Regression,2.1659,6.9353,2.6208,0.0075,0.6475,0.5877,0.058,"(2, 4, 17)"
Elastic Net,2.1663,6.9323,2.6199,0.0077,0.6465,0.586,0.056,"(2, 4, 17)"
Dummy Regressor,2.2208,7.2932,2.69,-0.046,0.6604,0.6135,0.058,"(2, 4, 17)"
K Neighbors Regressor,2.2667,7.9681,2.8097,-0.1648,0.6756,0.6014,0.055,"(2, 4, 17)"
Decision Tree Regressor,2.5099,10.9894,3.2905,-0.5684,0.807,0.6877,0.056,"(2, 4, 17)"
Passive Aggressive Regressor,3.1559,16.0381,3.8781,-1.3331,0.835,0.8071,0.055,"(2, 4, 17)"
Least Angle Regression,16258.6329,2013820802.4772,20720.3532,-264486359.892,5.6928,3727.0276,0.056,"(2, 4, 17)"
Extra Trees Regressor,1.7508,4.8718,2.1974,0.27,0.5605,0.5511,0.133,"(2, 6, 9)"
Random Forest Regressor,1.8014,5.2078,2.2676,0.2225,0.5736,0.5557,0.208,"(2, 6, 9)"
Linear Regression,1.8418,5.3217,2.297,0.191,0.5933,0.5919,0.056,"(2, 6, 9)"
Light Gradient Boosting Machine,1.8665,5.4108,2.3199,0.183,0.5905,0.5592,0.075,"(2, 6, 9)"
Gradient Boosting Regressor,1.8857,5.7266,2.383,0.138,0.5913,0.5758,0.156,"(2, 6, 9)"
AdaBoost Regressor,1.9413,5.6048,2.3621,0.1539,0.6013,0.5904,0.1,"(2, 6, 9)"
Ridge Regression,1.9777,6.1375,2.4681,0.0715,0.6187,0.6243,0.056,"(2, 6, 9)"
Huber Regressor,2.1202,6.7067,2.578,0.0008,0.6382,0.65,0.06,"(2, 6, 9)"
Orthogonal Matching Pursuit,2.1289,6.7706,2.5916,-0.0054,0.6478,0.6709,0.056,"(2, 6, 9)"
Elastic Net,2.1509,6.7301,2.586,0.0005,0.6477,0.6773,0.057,"(2, 6, 9)"
Lasso Regression,2.1549,6.7446,2.5892,-0.0014,0.6493,0.6786,0.059,"(2, 6, 9)"
Lasso Least Angle Regression,2.1549,6.7446,2.5892,-0.0014,0.6493,0.6786,0.057,"(2, 6, 9)"
Bayesian Ridge,2.1598,6.8306,2.6063,-0.0154,0.6512,0.677,0.057,"(2, 6, 9)"
Dummy Regressor,2.1706,6.9692,2.6318,-0.0328,0.6622,0.6812,0.06,"(2, 6, 9)"
K Neighbors Regressor,2.1858,7.2624,2.6796,-0.0786,0.6681,0.668,0.057,"(2, 6, 9)"
Decision Tree Regressor,2.3226,9.7954,3.1142,-0.4779,0.7628,0.6903,0.058,"(2, 6, 9)"
Passive Aggressive Regressor,3.5824,19.6513,4.3684,-2.0558,1.0119,1.0901,0.056,"(2, 6, 9)"
Least Angle Regression,1.7347699691087834e+133,4.845073369860178e+267,2.2011527366042043e+133,-6.891699189887321e+266,39.0322,6.829867591036114e+132,0.058,"(2, 6, 9)"
Extra Trees Regressor,1.7831,4.9809,2.2193,0.3058,0.5593,0.5193,0.136,"(2, 6, 12)"
Light Gradient Boosting Machine,1.8875,5.6455,2.3658,0.2092,0.5893,0.5466,0.075,"(2, 6, 12)"
Random Forest Regressor,1.9419,5.8439,2.407,0.182,0.5967,0.5641,0.211,"(2, 6, 12)"
Linear Regression,2.0033,6.2661,2.4829,0.1354,0.5999,0.5919,0.06,"(2, 6, 12)"
Gradient Boosting Regressor,2.0216,6.52,2.5405,0.0839,0.6143,0.6052,0.159,"(2, 6, 12)"
Ridge Regression,2.0571,6.3746,2.5085,0.1181,0.6245,0.6114,0.06,"(2, 6, 12)"
AdaBoost Regressor,2.1158,6.4909,2.5399,0.0963,0.6271,0.6225,0.096,"(2, 6, 12)"
Huber Regressor,2.1448,6.7854,2.5933,0.0583,0.6393,0.6572,0.06,"(2, 6, 12)"
Orthogonal Matching Pursuit,2.222,7.1746,2.6676,0.0052,0.6522,0.6742,0.06,"(2, 6, 12)"
Bayesian Ridge,2.228,7.0351,2.6463,0.0215,0.6489,0.6756,0.06,"(2, 6, 12)"
Elastic Net,2.244,7.1399,2.6647,0.0088,0.6489,0.6809,0.061,"(2, 6, 12)"
Lasso Regression,2.2493,7.1533,2.6678,0.0065,0.6503,0.6833,0.06,"(2, 6, 12)"
Lasso Least Angle Regression,2.2493,7.1533,2.6678,0.0065,0.6503,0.6833,0.06,"(2, 6, 12)"
Dummy Regressor,2.2933,7.3885,2.7139,-0.0292,0.6607,0.6981,0.064,"(2, 6, 12)"
K Neighbors Regressor,2.4053,8.4493,2.897,-0.1745,0.6931,0.7295,0.059,"(2, 6, 12)"
Decision Tree Regressor,2.7133,12.6968,3.5309,-0.7688,0.8105,0.7617,0.061,"(2, 6, 12)"
Passive Aggressive Regressor,4.9256,42.393,6.1121,-5.132,1.0179,1.5947,0.063,"(2, 6, 12)"
Least Angle Regression,136882.4625,122601487184.3619,160746.7628,-18951482264.8711,5.8415,39952.5008,0.061,"(2, 6, 12)"
Extra Trees Regressor,1.6014,4.1735,2.0135,0.3034,0.5371,0.4864,0.142,"(2, 6, 13)"
Random Forest Regressor,1.7147,4.67,2.1409,0.22,0.5729,0.533,0.221,"(2, 6, 13)"
Gradient Boosting Regressor,1.7281,4.9104,2.2024,0.1714,0.5742,0.5442,0.163,"(2, 6, 13)"
Light Gradient Boosting Machine,1.7902,5.1177,2.2375,0.1453,0.5891,0.5341,0.08,"(2, 6, 13)"
Linear Regression,1.9074,5.8298,2.3973,0.0264,0.607,0.5705,0.063,"(2, 6, 13)"
AdaBoost Regressor,1.9305,5.5068,2.3345,0.0782,0.5975,0.5646,0.105,"(2, 6, 13)"
Ridge Regression,1.9704,5.858,2.4093,0.0159,0.6266,0.5912,0.061,"(2, 6, 13)"
Huber Regressor,1.9808,5.9973,2.4416,-0.0123,0.6346,0.5987,0.066,"(2, 6, 13)"
Orthogonal Matching Pursuit,2.0077,6.0689,2.4591,-0.024,0.6365,0.6124,0.064,"(2, 6, 13)"
Dummy Regressor,2.0276,6.0188,2.4489,-0.0132,0.6341,0.6301,0.065,"(2, 6, 13)"
Elastic Net,2.0384,6.0758,2.4612,-0.0249,0.6346,0.6288,0.063,"(2, 6, 13)"
Lasso Regression,2.0429,6.1038,2.4661,-0.028,0.6361,0.6324,0.062,"(2, 6, 13)"
Lasso Least Angle Regression,2.0429,6.1038,2.4661,-0.028,0.6361,0.6324,0.063,"(2, 6, 13)"
Bayesian Ridge,2.0443,6.1244,2.4705,-0.0318,0.6376,0.6348,0.064,"(2, 6, 13)"
K Neighbors Regressor,2.1121,6.8033,2.6029,-0.158,0.6601,0.6322,0.063,"(2, 6, 13)"
Decision Tree Regressor,2.2891,9.4602,3.0589,-0.5877,0.7897,0.6632,0.063,"(2, 6, 13)"
Passive Aggressive Regressor,2.6293,10.8939,3.2652,-0.853,0.7432,0.8051,0.062,"(2, 6, 13)"
Least Angle Regression,193044.6804,498077497883.3441,241906.9515,-69009584924.6735,5.2217,54174.3204,0.065,"(2, 6, 13)"
Extra Trees Regressor,1.5514,4.1334,2.0205,0.3232,0.5269,0.4016,0.136,"(2, 6, 15)"
Light Gradient Boosting Machine,1.6831,4.9173,2.2031,0.1884,0.5565,0.434,0.082,"(2, 6, 15)"
Random Forest Regressor,1.7069,4.7678,2.1682,0.2217,0.5579,0.4643,0.209,"(2, 6, 15)"
Linear Regression,1.7847,5.5388,2.3404,0.0847,0.5757,0.4719,0.067,"(2, 6, 15)"
Ridge Regression,1.8418,5.4964,2.3263,0.0965,0.5942,0.5174,0.064,"(2, 6, 15)"
Gradient Boosting Regressor,1.8619,5.7958,2.3897,0.0528,0.5923,0.5021,0.159,"(2, 6, 15)"
AdaBoost Regressor,1.8819,5.7561,2.3874,0.0595,0.5924,0.516,0.1,"(2, 6, 15)"
Huber Regressor,1.9622,6.0471,2.4441,0.0099,0.6103,0.559,0.068,"(2, 6, 15)"
Orthogonal Matching Pursuit,1.9897,6.2042,2.4757,-0.0097,0.6156,0.5825,0.067,"(2, 6, 15)"
Elastic Net,2.0015,6.2696,2.4894,-0.0177,0.6197,0.5944,0.066,"(2, 6, 15)"
Lasso Regression,2.004,6.2635,2.4888,-0.0172,0.6196,0.5966,0.068,"(2, 6, 15)"
Lasso Least Angle Regression,2.004,6.2635,2.4888,-0.0172,0.6196,0.5966,0.071,"(2, 6, 15)"
Bayesian Ridge,2.0252,6.3749,2.514,-0.04,0.6243,0.603,0.064,"(2, 6, 15)"
Dummy Regressor,2.0647,6.4168,2.5216,-0.0423,0.6235,0.6337,0.067,"(2, 6, 15)"
Decision Tree Regressor,2.1806,8.6774,2.93,-0.4696,0.7353,0.5654,0.066,"(2, 6, 15)"
K Neighbors Regressor,2.1826,7.411,2.7163,-0.23,0.6528,0.6346,0.066,"(2, 6, 15)"
Passive Aggressive Regressor,3.0116,14.3352,3.65,-1.3719,0.7995,0.9407,0.066,"(2, 6, 15)"
Least Angle Regression,6.349309397338623e+228,inf,inf,-inf,57.783,1.7444887062112677e+228,0.067,"(2, 6, 15)"
Extra Trees Regressor,1.595,3.9545,1.9728,0.3344,0.5249,0.4555,0.138,"(2, 6, 16)"
Light Gradient Boosting Machine,1.6541,4.2266,2.0442,0.282,0.5321,0.4547,0.087,"(2, 6, 16)"
Random Forest Regressor,1.7004,4.4402,2.093,0.2473,0.5514,0.482,0.224,"(2, 6, 16)"
Gradient Boosting Regressor,1.7393,4.8971,2.1953,0.1741,0.5636,0.4895,0.169,"(2, 6, 16)"
AdaBoost Regressor,1.8296,4.8953,2.1969,0.1776,0.5646,0.5036,0.104,"(2, 6, 16)"
Linear Regression,1.8307,5.5176,2.3218,0.0618,0.5804,0.5111,0.071,"(2, 6, 16)"
Ridge Regression,1.8415,5.2514,2.2775,0.1191,0.5872,0.5259,0.068,"(2, 6, 16)"
Huber Regressor,1.908,5.6372,2.3627,0.0489,0.6092,0.5466,0.073,"(2, 6, 16)"
Bayesian Ridge,1.9219,5.5521,2.3467,0.0631,0.6059,0.5585,0.069,"(2, 6, 16)"
Orthogonal Matching Pursuit,1.9444,5.7454,2.3866,0.0312,0.6121,0.5729,0.069,"(2, 6, 16)"
Elastic Net,1.9705,5.8148,2.401,0.0198,0.6108,0.5873,0.069,"(2, 6, 16)"
Lasso Regression,1.9717,5.8396,2.4065,0.0161,0.6117,0.5883,0.07,"(2, 6, 16)"
Lasso Least Angle Regression,1.9717,5.8396,2.4065,0.0161,0.6117,0.5883,0.068,"(2, 6, 16)"
Dummy Regressor,1.9962,6.0721,2.4533,-0.0193,0.6197,0.5964,0.076,"(2, 6, 16)"
K Neighbors Regressor,2.033,6.4543,2.5222,-0.078,0.624,0.5904,0.067,"(2, 6, 16)"
Decision Tree Regressor,2.19,8.4743,2.9018,-0.4623,0.7426,0.6104,0.07,"(2, 6, 16)"
Passive Aggressive Regressor,3.1913,16.2802,3.847,-1.7975,0.8548,0.9413,0.072,"(2, 6, 16)"
Least Angle Regression,2639.3915,27722005.0904,3475.6408,-4178795.0189,4.2984,743.0805,0.07,"(2, 6, 16)"
Extra Trees Regressor,1.6987,4.533,2.1226,0.2987,0.5384,0.4939,0.145,"(2, 6, 17)"
Light Gradient Boosting Machine,1.7729,5.1107,2.2563,0.1998,0.5655,0.5192,0.086,"(2, 6, 17)"
Random Forest Regressor,1.8141,5.0181,2.2336,0.2242,0.5688,0.5306,0.224,"(2, 6, 17)"
Gradient Boosting Regressor,1.8554,5.5746,2.3553,0.1324,0.5794,0.5329,0.172,"(2, 6, 17)"
Linear Regression,1.888,5.9765,2.4125,0.0899,0.5932,0.5238,0.072,"(2, 6, 17)"
Ridge Regression,1.9442,5.8143,2.3931,0.1096,0.6068,0.5521,0.072,"(2, 6, 17)"
AdaBoost Regressor,1.9933,5.8136,2.4031,0.103,0.6015,0.5862,0.108,"(2, 6, 17)"
Huber Regressor,2.0562,6.2697,2.4924,0.0325,0.6233,0.6027,0.076,"(2, 6, 17)"
Elastic Net,2.0758,6.4052,2.5235,0.0168,0.6333,0.6194,0.075,"(2, 6, 17)"
Lasso Least Angle Regression,2.0786,6.4282,2.5277,0.0141,0.6342,0.6214,0.07,"(2, 6, 17)"
Lasso Regression,2.0786,6.4282,2.5277,0.0141,0.6342,0.6214,0.072,"(2, 6, 17)"
Orthogonal Matching Pursuit,2.0847,6.3939,2.5191,0.0192,0.629,0.6153,0.071,"(2, 6, 17)"
Bayesian Ridge,2.0915,6.5216,2.5442,-0.001,0.6367,0.6266,0.071,"(2, 6, 17)"
Dummy Regressor,2.135,6.7981,2.5971,-0.039,0.6462,0.6455,0.073,"(2, 6, 17)"
K Neighbors Regressor,2.2498,7.9031,2.796,-0.2094,0.6739,0.6316,0.072,"(2, 6, 17)"
Decision Tree Regressor,2.2803,9.4218,3.0377,-0.4753,0.7276,0.6373,0.074,"(2, 6, 17)"
Passive Aggressive Regressor,3.1635,16.0193,3.9289,-1.4798,0.8026,1.0979,0.072,"(2, 6, 17)"
Least Angle Regression,5639237.9859,346404526608366.7,7525927.4135,-47656441841563.766,8.6726,1352183.2604,0.073,"(2, 6, 17)"
Extra Trees Regressor,1.8938,5.7119,2.3745,0.2514,0.5947,0.5147,0.135,"(2, 9, 12)"
Random Forest Regressor,1.9589,5.9609,2.4277,0.2193,0.6107,0.526,0.198,"(2, 9, 12)"
Light Gradient Boosting Machine,1.9594,6.087,2.4544,0.2013,0.6046,0.5314,0.084,"(2, 9, 12)"
Linear Regression,2.0076,6.603,2.5432,0.1495,0.6536,0.5596,0.076,"(2, 9, 12)"
Gradient Boosting Regressor,2.0243,6.4895,2.5228,0.1503,0.6257,0.5595,0.157,"(2, 9, 12)"
Decision Tree Regressor,2.1416,9.265,3.0261,-0.2539,0.7435,0.6107,0.074,"(2, 9, 12)"
AdaBoost Regressor,2.153,6.691,2.5782,0.1235,0.6368,0.593,0.108,"(2, 9, 12)"
Ridge Regression,2.1678,6.9974,2.6242,0.0874,0.6482,0.619,0.074,"(2, 9, 12)"
Orthogonal Matching Pursuit,2.2564,7.1913,2.6591,0.0674,0.6642,0.6682,0.073,"(2, 9, 12)"
Huber Regressor,2.2792,7.6291,2.7365,-0.005,0.6677,0.6634,0.078,"(2, 9, 12)"
Bayesian Ridge,2.3367,7.6946,2.754,0.0037,0.6797,0.6788,0.076,"(2, 9, 12)"
Elastic Net,2.363,7.7411,2.7647,-0.0012,0.684,0.7054,0.075,"(2, 9, 12)"
Lasso Regression,2.3649,7.7379,2.7643,-0.0002,0.685,0.7057,0.073,"(2, 9, 12)"
Lasso Least Angle Regression,2.3649,7.7379,2.7643,-0.0002,0.685,0.7057,0.071,"(2, 9, 12)"
Dummy Regressor,2.4009,7.9701,2.8105,-0.0335,0.6964,0.7118,0.082,"(2, 9, 12)"
K Neighbors Regressor,2.4562,8.7729,2.945,-0.1473,0.7161,0.7351,0.074,"(2, 9, 12)"
Passive Aggressive Regressor,2.9905,13.5424,3.6146,-0.7878,0.8095,0.7522,0.074,"(2, 9, 12)"
Least Angle Regression,162728.6845,383669921253.014,216956.4044,-58686880055.8296,6.1559,48804.572,0.075,"(2, 9, 12)"
Extra Trees Regressor,1.5737,4.1234,2.0089,0.3385,0.5356,0.4698,0.136,"(2, 9, 13)"
Gradient Boosting Regressor,1.6462,4.7054,2.1479,0.2393,0.5449,0.4926,0.167,"(2, 9, 13)"
Random Forest Regressor,1.6722,4.657,2.1437,0.2529,0.5624,0.4924,0.211,"(2, 9, 13)"
Light Gradient Boosting Machine,1.7025,4.7712,2.1725,0.2241,0.5673,0.4918,0.093,"(2, 9, 13)"
Linear Regression,1.789,5.158,2.2485,0.1635,0.5614,0.5439,0.077,"(2, 9, 13)"
AdaBoost Regressor,1.8733,5.5789,2.3487,0.1026,0.592,0.5519,0.111,"(2, 9, 13)"
Ridge Regression,1.9055,5.7412,2.3779,0.0737,0.6075,0.5766,0.077,"(2, 9, 13)"
Bayesian Ridge,1.9515,5.9093,2.4192,0.0498,0.6186,0.6036,0.076,"(2, 9, 13)"
Huber Regressor,1.9676,5.9841,2.4263,0.0385,0.6108,0.6134,0.08,"(2, 9, 13)"
Orthogonal Matching Pursuit,2.0684,6.5854,2.5531,-0.0592,0.6491,0.6511,0.078,"(2, 9, 13)"
Elastic Net,2.0938,6.4348,2.5284,-0.0311,0.6418,0.6656,0.076,"(2, 9, 13)"
Lasso Regression,2.0957,6.4555,2.5329,-0.0353,0.6432,0.6663,0.078,"(2, 9, 13)"
Lasso Least Angle Regression,2.0957,6.4555,2.5329,-0.0353,0.6432,0.6663,0.077,"(2, 9, 13)"
Dummy Regressor,2.1159,6.6676,2.5757,-0.0735,0.6493,0.6754,0.074,"(2, 9, 13)"
Decision Tree Regressor,2.1943,9.1663,3.0103,-0.5207,0.7678,0.6813,0.081,"(2, 9, 13)"
K Neighbors Regressor,2.272,7.7489,2.7771,-0.2599,0.682,0.6923,0.083,"(2, 9, 13)"
Passive Aggressive Regressor,4.4729,32.5647,5.407,-3.9323,1.0152,1.5493,0.077,"(2, 9, 13)"
Least Angle Regression,5150727.4622,371778776713758.9,6098597.5505,-66270726540832.66,4.3558,1584013.3241,0.076,"(2, 9, 13)"
Extra Trees Regressor,1.6944,5.0518,2.2317,0.2201,0.5482,0.4082,0.136,"(2, 9, 15)"
Random Forest Regressor,1.7719,5.3751,2.3084,0.1668,0.5616,0.4335,0.205,"(2, 9, 15)"
Light Gradient Boosting Machine,1.7899,5.5861,2.3434,0.1258,0.5622,0.4336,0.09,"(2, 9, 15)"
Gradient Boosting Regressor,1.791,5.6538,2.3532,0.1343,0.5561,0.4274,0.154,"(2, 9, 15)"
Linear Regression,1.826,5.4946,2.3296,0.168,0.5625,0.4522,0.08,"(2, 9, 15)"
Ridge Regression,1.9184,6.0924,2.451,0.079,0.589,0.4862,0.079,"(2, 9, 15)"
AdaBoost Regressor,1.9288,6.0983,2.4616,0.0601,0.5912,0.4669,0.113,"(2, 9, 15)"
Huber Regressor,1.9697,6.3397,2.5058,0.0313,0.604,0.5098,0.078,"(2, 9, 15)"
Lasso Least Angle Regression,2.0163,6.4243,2.5255,0.0252,0.6109,0.527,0.079,"(2, 9, 15)"
Lasso Regression,2.0163,6.4243,2.5255,0.0252,0.6109,0.527,0.081,"(2, 9, 15)"
Elastic Net,2.0189,6.4396,2.5285,0.0222,0.6112,0.5272,0.078,"(2, 9, 15)"
Bayesian Ridge,2.0217,6.4661,2.5339,0.0188,0.6122,0.529,0.08,"(2, 9, 15)"
Orthogonal Matching Pursuit,2.0256,6.5279,2.5462,0.0052,0.6136,0.5293,0.08,"(2, 9, 15)"
Dummy Regressor,2.0764,6.7657,2.5905,-0.021,0.6203,0.5518,0.082,"(2, 9, 15)"
K Neighbors Regressor,2.1402,7.0187,2.6346,-0.0701,0.6211,0.5636,0.078,"(2, 9, 15)"
Decision Tree Regressor,2.3263,10.6589,3.2128,-0.7242,0.7822,0.5725,0.079,"(2, 9, 15)"
Passive Aggressive Regressor,4.7743,40.2123,5.8233,-5.0257,0.9737,1.344,0.079,"(2, 9, 15)"
Least Angle Regression,80688569.1925,1.297057108249305e+17,114128626.1113,-2.674078401699527e+16,10.1101,22695078.0128,0.081,"(2, 9, 15)"
Extra Trees Regressor,1.636,4.8329,2.1706,0.3387,0.5548,0.4149,0.142,"(2, 9, 16)"
Random Forest Regressor,1.6801,4.9352,2.1925,0.3265,0.5695,0.4283,0.201,"(2, 9, 16)"
Gradient Boosting Regressor,1.7329,5.1224,2.2325,0.2986,0.5737,0.4599,0.163,"(2, 9, 16)"
Light Gradient Boosting Machine,1.7608,5.5871,2.3294,0.2404,0.5912,0.433,0.095,"(2, 9, 16)"
Linear Regression,1.7781,5.2699,2.2636,0.2708,0.5798,0.5115,0.082,"(2, 9, 16)"
Ridge Regression,1.8624,5.6786,2.3648,0.2167,0.6068,0.5029,0.084,"(2, 9, 16)"
AdaBoost Regressor,1.888,5.7059,2.3771,0.2095,0.6037,0.4889,0.116,"(2, 9, 16)"
Bayesian Ridge,1.9268,5.8371,2.399,0.1952,0.6137,0.5269,0.081,"(2, 9, 16)"
Huber Regressor,2.0245,6.4129,2.5198,0.1092,0.6302,0.5588,0.086,"(2, 9, 16)"
Decision Tree Regressor,2.0344,8.1075,2.8212,-0.1381,0.7118,0.5474,0.086,"(2, 9, 16)"
Orthogonal Matching Pursuit,2.0687,6.2531,2.4932,0.1324,0.6391,0.6062,0.082,"(2, 9, 16)"
Elastic Net,2.1937,6.9791,2.6319,0.0328,0.6618,0.6417,0.084,"(2, 9, 16)"
Lasso Regression,2.1945,6.9885,2.6344,0.0314,0.6625,0.643,0.084,"(2, 9, 16)"
Lasso Least Angle Regression,2.1945,6.9885,2.6344,0.0314,0.6625,0.643,0.089,"(2, 9, 16)"
Dummy Regressor,2.2329,7.3151,2.6984,-0.0162,0.6715,0.6642,0.083,"(2, 9, 16)"
K Neighbors Regressor,2.2742,7.6594,2.7596,-0.0734,0.6705,0.6709,0.081,"(2, 9, 16)"
Passive Aggressive Regressor,2.7372,11.9195,3.3726,-0.6568,0.7978,0.7438,0.081,"(2, 9, 16)"
Least Angle Regression,271099.1652,873793691392.8011,357393.5627,-123955768241.2412,6.4306,75567.1981,0.086,"(2, 9, 16)"
Extra Trees Regressor,1.8178,5.5276,2.337,0.1885,0.5882,0.4732,0.14,"(2, 9, 17)"
Light Gradient Boosting Machine,1.9062,6.0937,2.4544,0.0866,0.6084,0.5241,0.098,"(2, 9, 17)"
Linear Regression,1.9136,5.9596,2.4234,0.1175,0.61,0.5648,0.081,"(2, 9, 17)"
Random Forest Regressor,1.9374,5.8375,2.4007,0.1445,0.6088,0.5216,0.214,"(2, 9, 17)"
Gradient Boosting Regressor,1.9629,6.2903,2.4909,0.0672,0.6175,0.5318,0.165,"(2, 9, 17)"
AdaBoost Regressor,2.0356,6.2724,2.4912,0.0798,0.6218,0.5484,0.121,"(2, 9, 17)"
Ridge Regression,2.0732,6.7098,2.573,0.0248,0.6439,0.5945,0.084,"(2, 9, 17)"
Huber Regressor,2.1671,7.2191,2.6666,-0.0478,0.663,0.6104,0.086,"(2, 9, 17)"
Orthogonal Matching Pursuit,2.1769,7.0834,2.6464,-0.0251,0.6617,0.622,0.088,"(2, 9, 17)"
Lasso Least Angle Regression,2.1905,7.1254,2.6532,-0.0269,0.6628,0.6227,0.087,"(2, 9, 17)"
Lasso Regression,2.1905,7.1254,2.6532,-0.0269,0.6628,0.6227,0.084,"(2, 9, 17)"
Elastic Net,2.1914,7.1114,2.6502,-0.0247,0.6619,0.6216,0.086,"(2, 9, 17)"
Bayesian Ridge,2.2004,7.2003,2.668,-0.0388,0.6649,0.6234,0.088,"(2, 9, 17)"
Dummy Regressor,2.2352,7.3586,2.698,-0.0626,0.671,0.6447,0.086,"(2, 9, 17)"
K Neighbors Regressor,2.31,7.9511,2.8098,-0.1695,0.6783,0.6293,0.084,"(2, 9, 17)"
Decision Tree Regressor,2.3997,10.9272,3.2734,-0.6659,0.8115,0.632,0.086,"(2, 9, 17)"
Passive Aggressive Regressor,3.9957,28.7778,4.8334,-3.3943,0.883,1.2262,0.086,"(2, 9, 17)"
Least Angle Regression,1796498.0638,48715792148097.234,2386207.0643,-6291350781036.645,6.697,454628.9984,0.091,"(2, 9, 17)"
Extra Trees Regressor,1.9322,5.7208,2.3765,0.2591,0.6171,0.5873,0.147,"(2, 12, 13)"
Light Gradient Boosting Machine,2.0401,6.5074,2.5369,0.1513,0.6445,0.6295,0.097,"(2, 12, 13)"
Random Forest Regressor,2.0441,6.3174,2.5003,0.1799,0.6503,0.6208,0.209,"(2, 12, 13)"
Linear Regression,2.1053,6.8352,2.5983,0.1163,0.6508,0.61,0.088,"(2, 12, 13)"
Gradient Boosting Regressor,2.1341,7.1563,2.6654,0.0625,0.6669,0.6748,0.166,"(2, 12, 13)"
AdaBoost Regressor,2.2241,7.1571,2.6614,0.0686,0.6731,0.6619,0.121,"(2, 12, 13)"
Ridge Regression,2.2411,7.3323,2.697,0.038,0.6828,0.6527,0.093,"(2, 12, 13)"
Huber Regressor,2.2749,7.5644,2.7394,0.0107,0.6949,0.6835,0.09,"(2, 12, 13)"
Orthogonal Matching Pursuit,2.321,7.7334,2.765,-0.002,0.7039,0.6956,0.089,"(2, 12, 13)"
Elastic Net,2.3747,7.8334,2.7849,-0.0124,0.7046,0.7249,0.09,"(2, 12, 13)"
Bayesian Ridge,2.3804,7.9188,2.8016,-0.0253,0.7086,0.7239,0.089,"(2, 12, 13)"
Lasso Regression,2.387,7.9001,2.7966,-0.0198,0.7073,0.732,0.092,"(2, 12, 13)"
Lasso Least Angle Regression,2.387,7.9001,2.7966,-0.0198,0.7073,0.732,0.087,"(2, 12, 13)"
Dummy Regressor,2.419,8.0056,2.8177,-0.0363,0.7092,0.7532,0.09,"(2, 12, 13)"
K Neighbors Regressor,2.4223,8.727,2.9306,-0.1379,0.7253,0.7014,0.087,"(2, 12, 13)"
Decision Tree Regressor,2.5387,11.4034,3.316,-0.4755,0.8367,0.7813,0.087,"(2, 12, 13)"
Passive Aggressive Regressor,3.8766,28.4683,4.7487,-2.4317,0.9247,1.4067,0.09,"(2, 12, 13)"
Least Angle Regression,805510.0302,8503292514435.464,938484.2671,-891437553541.8793,6.4746,243193.7374,0.096,"(2, 12, 13)"
Extra Trees Regressor,1.9005,5.889,2.4168,0.189,0.5797,0.466,0.143,"(2, 12, 15)"
Random Forest Regressor,1.9551,6.0046,2.436,0.1743,0.5885,0.4847,0.203,"(2, 12, 15)"
Light Gradient Boosting Machine,1.977,6.3915,2.5129,0.1153,0.5976,0.4798,0.102,"(2, 12, 15)"
