Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects,Sensor,Combinations
Elastic Net,1.9924,5.8031,2.4062,0.0173,0.7385,0.6653,0.052,"(1, 3, 4)",wrist,3
Orthogonal Matching Pursuit,1.9975,5.9055,2.4275,0.0001,0.7403,0.6604,0.055,"(1, 3, 4)",wrist,3
Decision Tree Regressor,2.012,8.3163,2.8787,-0.4154,0.8346,0.73,0.055,"(1, 3, 4)",wrist,3
K Neighbors Regressor,2.0174,6.2427,2.4952,-0.06,0.7481,0.6717,0.059,"(1, 3, 4)",wrist,3
Dummy Regressor,2.0249,5.9657,2.44,-0.0103,0.7425,0.6937,0.061,"(1, 3, 4)",wrist,3
AdaBoost Regressor,2.0471,5.7985,2.4071,0.0135,0.7773,0.7855,0.077,"(1, 3, 4)",wrist,3
Least Angle Regression,2.2335,8.0293,2.8201,-0.3674,0.7849,0.8376,0.046,"(1, 3, 4)",wrist,3
Passive Aggressive Regressor,3.3286,17.3965,4.0984,-2.0034,1.0802,1.5372,0.051,"(1, 3, 4)",wrist,3
Extra Trees Regressor,1.5281,3.963,1.9895,0.2919,0.6111,0.4712,0.112,"(1, 3, 5)",wrist,3
Random Forest Regressor,1.5911,4.1999,2.0487,0.249,0.627,0.4993,0.237,"(1, 3, 5)",wrist,3
Light Gradient Boosting Machine,1.608,4.3709,2.0895,0.2182,0.6323,0.5055,0.078,"(1, 3, 5)",wrist,3
Gradient Boosting Regressor,1.6986,4.5953,2.143,0.1775,0.6517,0.5481,0.15,"(1, 3, 5)",wrist,3
Linear Regression,1.8463,5.2448,2.2886,0.064,0.6903,0.6222,0.055,"(1, 3, 5)",wrist,3
Ridge Regression,1.8733,5.3357,2.3086,0.0473,0.6973,0.633,0.068,"(1, 3, 5)",wrist,3
Bayesian Ridge,1.884,5.3729,2.3166,0.0407,0.6993,0.6394,0.055,"(1, 3, 5)",wrist,3
Huber Regressor,1.885,5.5563,2.3556,0.0076,0.69,0.5963,0.06,"(1, 3, 5)",wrist,3
Lasso Least Angle Regression,1.9188,5.4756,2.3391,0.0224,0.7064,0.6563,0.056,"(1, 3, 5)",wrist,3
Lasso Regression,1.9188,5.4756,2.3391,0.0224,0.7064,0.6563,0.069,"(1, 3, 5)",wrist,3
Elastic Net,1.9189,5.4729,2.3385,0.0228,0.7065,0.6568,0.067,"(1, 3, 5)",wrist,3
Orthogonal Matching Pursuit,1.9301,5.561,2.3571,0.0076,0.7079,0.6568,0.057,"(1, 3, 5)",wrist,3
AdaBoost Regressor,1.9376,5.3862,2.32,0.037,0.7282,0.7186,0.07,"(1, 3, 5)",wrist,3
Dummy Regressor,1.9442,5.6222,2.3704,-0.0039,0.712,0.6749,0.06,"(1, 3, 5)",wrist,3
K Neighbors Regressor,2.0101,6.2705,2.5018,-0.12,0.7332,0.6822,0.064,"(1, 3, 5)",wrist,3
Decision Tree Regressor,2.0898,8.5725,2.9241,-0.5352,0.8505,0.7091,0.057,"(1, 3, 5)",wrist,3
Passive Aggressive Regressor,2.8458,12.8177,3.5427,-1.3042,1.0036,1.0343,0.063,"(1, 3, 5)",wrist,3
Least Angle Regression,13.1421,1926.9673,16.7025,-348.0191,1.0465,5.275,0.057,"(1, 3, 5)",wrist,3
Extra Trees Regressor,1.4016,3.4265,1.8492,0.3448,0.5868,0.4715,0.121,"(1, 3, 6)",wrist,3
Random Forest Regressor,1.4305,3.5694,1.8879,0.3171,0.5937,0.4838,0.232,"(1, 3, 6)",wrist,3
Light Gradient Boosting Machine,1.434,3.5786,1.8903,0.3157,0.5929,0.5131,0.093,"(1, 3, 6)",wrist,3
Gradient Boosting Regressor,1.5613,3.917,1.978,0.2508,0.6235,0.5437,0.169,"(1, 3, 6)",wrist,3
Linear Regression,1.7465,4.7697,2.183,0.0872,0.6759,0.6115,0.067,"(1, 3, 6)",wrist,3
Bayesian Ridge,1.7713,4.8206,2.1948,0.0779,0.6833,0.6162,0.062,"(1, 3, 6)",wrist,3
Decision Tree Regressor,1.7945,6.8215,2.6084,-0.3043,0.7907,0.6888,0.081,"(1, 3, 6)",wrist,3
Ridge Regression,1.7994,4.8902,2.2104,0.065,0.6909,0.6282,0.057,"(1, 3, 6)",wrist,3
Huber Regressor,1.8254,5.2497,2.2895,-0.0026,0.6874,0.592,0.075,"(1, 3, 6)",wrist,3
Orthogonal Matching Pursuit,1.8789,5.1949,2.2782,0.0072,0.7143,0.6606,0.066,"(1, 3, 6)",wrist,3
Lasso Regression,1.8805,5.1797,2.2748,0.0102,0.7141,0.6631,0.064,"(1, 3, 6)",wrist,3
Lasso Least Angle Regression,1.8805,5.1797,2.2748,0.0102,0.7141,0.6631,0.055,"(1, 3, 6)",wrist,3
Elastic Net,1.8817,5.1767,2.2741,0.0108,0.7141,0.6643,0.062,"(1, 3, 6)",wrist,3
AdaBoost Regressor,1.8837,4.962,2.2268,0.0508,0.7337,0.7473,0.08,"(1, 3, 6)",wrist,3
K Neighbors Regressor,1.9137,5.6637,2.3773,-0.0818,0.7301,0.6864,0.06,"(1, 3, 6)",wrist,3
Dummy Regressor,1.9188,5.2632,2.2931,-0.0057,0.7185,0.6941,0.061,"(1, 3, 6)",wrist,3
Passive Aggressive Regressor,2.4772,9.9229,3.0927,-0.9108,0.8318,0.9157,0.07,"(1, 3, 6)",wrist,3
Least Angle Regression,4.9035,103.1168,6.5198,-19.2878,0.9772,2.1695,0.054,"(1, 3, 6)",wrist,3
Extra Trees Regressor,1.5389,3.9378,1.9804,0.3228,0.621,0.4947,0.129,"(1, 3, 8)",wrist,3
Light Gradient Boosting Machine,1.5844,4.2003,2.0446,0.2777,0.6328,0.5317,0.086,"(1, 3, 8)",wrist,3
Random Forest Regressor,1.5909,4.1378,2.0302,0.2883,0.6343,0.5089,0.24,"(1, 3, 8)",wrist,3
Gradient Boosting Regressor,1.6804,4.4594,2.1095,0.2312,0.6534,0.5467,0.158,"(1, 3, 8)",wrist,3
Linear Regression,1.8526,5.2446,2.2881,0.0955,0.6988,0.6131,0.065,"(1, 3, 8)",wrist,3
Bayesian Ridge,1.883,5.3497,2.3111,0.0775,0.7086,0.621,0.057,"(1, 3, 8)",wrist,3
Ridge Regression,1.8912,5.355,2.3124,0.0767,0.7115,0.6226,0.061,"(1, 3, 8)",wrist,3
Huber Regressor,1.912,5.6043,2.3649,0.0344,0.707,0.5932,0.07,"(1, 3, 8)",wrist,3
AdaBoost Regressor,1.9578,5.3686,2.3159,0.0728,0.7496,0.7112,0.081,"(1, 3, 8)",wrist,3
Elastic Net,1.9734,5.6215,2.3697,0.0302,0.7338,0.6489,0.069,"(1, 3, 8)",wrist,3
Lasso Regression,1.9741,5.6244,2.3703,0.0298,0.7339,0.6493,0.059,"(1, 3, 8)",wrist,3
Lasso Least Angle Regression,1.9741,5.6244,2.3703,0.0298,0.7339,0.6493,0.068,"(1, 3, 8)",wrist,3
Orthogonal Matching Pursuit,1.9912,5.8128,2.4093,-0.0019,0.7399,0.6574,0.06,"(1, 3, 8)",wrist,3
Dummy Regressor,2.0049,5.8406,2.4149,-0.0064,0.7416,0.6705,0.071,"(1, 3, 8)",wrist,3
K Neighbors Regressor,2.0217,6.3001,2.5084,-0.0877,0.7481,0.6706,0.058,"(1, 3, 8)",wrist,3
Decision Tree Regressor,2.1022,8.3683,2.8891,-0.4445,0.8534,0.7938,0.061,"(1, 3, 8)",wrist,3
Passive Aggressive Regressor,2.3382,9.0735,2.9848,-0.5641,0.8407,0.7011,0.061,"(1, 3, 8)",wrist,3
Least Angle Regression,7.8913,620.9839,10.317,-90.5336,0.98,3.2987,0.078,"(1, 3, 8)",wrist,3
Extra Trees Regressor,1.3753,3.3598,1.8259,0.3796,0.5761,0.4439,0.118,"(1, 3, 9)",wrist,3
Random Forest Regressor,1.4319,3.5419,1.8761,0.345,0.5885,0.4657,0.211,"(1, 3, 9)",wrist,3
Light Gradient Boosting Machine,1.4364,3.6513,1.9055,0.3227,0.5926,0.4917,0.096,"(1, 3, 9)",wrist,3
Gradient Boosting Regressor,1.5345,3.894,1.9661,0.281,0.6179,0.512,0.154,"(1, 3, 9)",wrist,3
Linear Regression,1.6834,4.5427,2.1253,0.1605,0.6546,0.5985,0.071,"(1, 3, 9)",wrist,3
Bayesian Ridge,1.7396,4.7462,2.1727,0.1228,0.6727,0.6114,0.072,"(1, 3, 9)",wrist,3
Ridge Regression,1.7778,4.8695,2.2011,0.0993,0.6842,0.6238,0.066,"(1, 3, 9)",wrist,3
Huber Regressor,1.7798,5.2027,2.2721,0.0416,0.6793,0.5695,0.07,"(1, 3, 9)",wrist,3
Decision Tree Regressor,1.8626,7.3148,2.696,-0.3625,0.8036,0.6962,0.066,"(1, 3, 9)",wrist,3
Orthogonal Matching Pursuit,1.8713,5.317,2.301,0.0152,0.7142,0.6429,0.074,"(1, 3, 9)",wrist,3
Lasso Regression,1.8762,5.2311,2.2823,0.0311,0.7127,0.6489,0.065,"(1, 3, 9)",wrist,3
Lasso Least Angle Regression,1.8762,5.2311,2.2823,0.0311,0.7127,0.6489,0.078,"(1, 3, 9)",wrist,3
Elastic Net,1.877,5.2284,2.2817,0.0315,0.7128,0.6498,0.071,"(1, 3, 9)",wrist,3
K Neighbors Regressor,1.8939,5.7283,2.3877,-0.0602,0.7244,0.6569,0.058,"(1, 3, 9)",wrist,3
Dummy Regressor,1.9362,5.4433,2.329,-0.0093,0.7225,0.6936,0.065,"(1, 3, 9)",wrist,3
AdaBoost Regressor,1.9396,5.1566,2.2698,0.0348,0.7503,0.7957,0.087,"(1, 3, 9)",wrist,3
Passive Aggressive Regressor,2.8897,14.8207,3.5371,-1.6613,0.9274,1.1879,0.067,"(1, 3, 9)",wrist,3
Least Angle Regression,13.7042,809.8215,18.9461,-152.43,1.4194,5.8961,0.059,"(1, 3, 9)",wrist,3
Extra Trees Regressor,1.4543,3.6797,1.9108,0.401,0.5932,0.4511,0.134,"(1, 3, 10)",wrist,3
Random Forest Regressor,1.5009,3.8635,1.9615,0.3681,0.6067,0.4695,0.218,"(1, 3, 10)",wrist,3
Light Gradient Boosting Machine,1.5339,4.1136,2.0231,0.3279,0.616,0.5078,0.096,"(1, 3, 10)",wrist,3
Gradient Boosting Regressor,1.63,4.2159,2.0482,0.312,0.6345,0.529,0.163,"(1, 3, 10)",wrist,3
Linear Regression,1.8641,5.3326,2.3043,0.1313,0.698,0.6355,0.07,"(1, 3, 10)",wrist,3
Decision Tree Regressor,1.8934,7.5649,2.7434,-0.2407,0.7965,0.6822,0.07,"(1, 3, 10)",wrist,3
Bayesian Ridge,1.9027,5.4328,2.3261,0.1145,0.7056,0.6462,0.065,"(1, 3, 10)",wrist,3
Ridge Regression,1.9346,5.5345,2.3482,0.0972,0.7144,0.656,0.071,"(1, 3, 10)",wrist,3
Huber Regressor,1.958,5.9348,2.4314,0.0315,0.7119,0.6156,0.079,"(1, 3, 10)",wrist,3
AdaBoost Regressor,1.9943,5.4908,2.3406,0.1018,0.7497,0.7492,0.085,"(1, 3, 10)",wrist,3
K Neighbors Regressor,2.0272,6.3491,2.5153,-0.0398,0.7563,0.6667,0.075,"(1, 3, 10)",wrist,3
Lasso Regression,2.044,5.9593,2.4376,0.0273,0.7451,0.6937,0.067,"(1, 3, 10)",wrist,3
Lasso Least Angle Regression,2.044,5.9593,2.4376,0.0273,0.7451,0.6937,0.07,"(1, 3, 10)",wrist,3
Elastic Net,2.0446,5.9565,2.4371,0.0276,0.7451,0.6947,0.067,"(1, 3, 10)",wrist,3
Orthogonal Matching Pursuit,2.0513,6.0434,2.4545,0.0141,0.7469,0.6903,0.068,"(1, 3, 10)",wrist,3
Dummy Regressor,2.0943,6.1448,2.4754,-0.003,0.7527,0.7391,0.072,"(1, 3, 10)",wrist,3
Passive Aggressive Regressor,2.9756,15.06,3.6184,-1.3762,0.9412,1.3889,0.066,"(1, 3, 10)",wrist,3
Least Angle Regression,10.6223,460.7833,13.8085,-68.015,1.2939,4.7017,0.07,"(1, 3, 10)",wrist,3
Extra Trees Regressor,1.5155,4.0316,2.0001,0.3342,0.6174,0.483,0.131,"(1, 3, 12)",wrist,3
Random Forest Regressor,1.573,4.282,2.0607,0.2938,0.6336,0.5106,0.23,"(1, 3, 12)",wrist,3
Light Gradient Boosting Machine,1.5739,4.361,2.0774,0.2811,0.6276,0.5413,0.118,"(1, 3, 12)",wrist,3
Gradient Boosting Regressor,1.6623,4.5858,2.1339,0.2433,0.6519,0.5617,0.178,"(1, 3, 12)",wrist,3
Linear Regression,1.8704,5.479,2.336,0.0904,0.7027,0.6617,0.079,"(1, 3, 12)",wrist,3
Huber Regressor,1.8991,5.9459,2.4324,0.0146,0.701,0.6039,0.068,"(1, 3, 12)",wrist,3
Ridge Regression,1.9121,5.595,2.36,0.0728,0.7148,0.674,0.071,"(1, 3, 12)",wrist,3
Bayesian Ridge,1.9242,5.6542,2.3721,0.0636,0.7187,0.6807,0.076,"(1, 3, 12)",wrist,3
Lasso Least Angle Regression,1.9966,5.8886,2.4211,0.0249,0.7386,0.7035,0.071,"(1, 3, 12)",wrist,3
Lasso Regression,1.9966,5.8886,2.4211,0.0249,0.7386,0.7035,0.071,"(1, 3, 12)",wrist,3
Elastic Net,1.9968,5.8861,2.4205,0.0254,0.7386,0.7041,0.071,"(1, 3, 12)",wrist,3
Orthogonal Matching Pursuit,2.0009,6.0126,2.4471,0.0036,0.7417,0.7001,0.069,"(1, 3, 12)",wrist,3
K Neighbors Regressor,2.0284,6.5543,2.5567,-0.0947,0.7589,0.7229,0.067,"(1, 3, 12)",wrist,3
Decision Tree Regressor,2.0358,8.5026,2.9092,-0.4213,0.8441,0.741,0.076,"(1, 3, 12)",wrist,3
Dummy Regressor,2.0362,6.0731,2.4595,-0.0067,0.7453,0.7323,0.093,"(1, 3, 12)",wrist,3
AdaBoost Regressor,2.0515,5.81,2.4064,0.0347,0.7799,0.8293,0.105,"(1, 3, 12)",wrist,3
Passive Aggressive Regressor,2.5489,9.9074,3.1216,-0.6533,0.887,1.1272,0.071,"(1, 3, 12)",wrist,3
Least Angle Regression,46.2216,35655.941,63.4742,-5811.8586,1.2575,24.2315,0.072,"(1, 3, 12)",wrist,3
Extra Trees Regressor,1.3874,3.4272,1.8473,0.3656,0.5753,0.4623,0.137,"(1, 3, 13)",wrist,3
Random Forest Regressor,1.4269,3.545,1.8786,0.344,0.585,0.4836,0.258,"(1, 3, 13)",wrist,3
Light Gradient Boosting Machine,1.4347,3.6652,1.9114,0.3203,0.5866,0.5041,0.099,"(1, 3, 13)",wrist,3
Gradient Boosting Regressor,1.5366,3.911,1.974,0.2751,0.6127,0.5244,0.169,"(1, 3, 13)",wrist,3
Linear Regression,1.7042,4.6967,2.165,0.1278,0.6594,0.6108,0.076,"(1, 3, 13)",wrist,3
Bayesian Ridge,1.7403,4.7893,2.1863,0.1109,0.6664,0.6211,0.074,"(1, 3, 13)",wrist,3
Decision Tree Regressor,1.7757,6.6194,2.5612,-0.2352,0.7749,0.6841,0.077,"(1, 3, 13)",wrist,3
Ridge Regression,1.7913,4.945,2.2214,0.0822,0.6809,0.642,0.072,"(1, 3, 13)",wrist,3
Huber Regressor,1.8048,5.2684,2.2922,0.0229,0.6755,0.6029,0.073,"(1, 3, 13)",wrist,3
Orthogonal Matching Pursuit,1.8825,5.334,2.3061,0.0123,0.7084,0.6732,0.067,"(1, 3, 13)",wrist,3
Lasso Regression,1.8911,5.2971,2.2991,0.0173,0.7081,0.6836,0.074,"(1, 3, 13)",wrist,3
Lasso Least Angle Regression,1.8911,5.2971,2.2991,0.0173,0.7081,0.6836,0.078,"(1, 3, 13)",wrist,3
Elastic Net,1.8917,5.2939,2.2985,0.0175,0.7081,0.6848,0.087,"(1, 3, 13)",wrist,3
AdaBoost Regressor,1.9005,5.0804,2.2519,0.0562,0.7311,0.7691,0.088,"(1, 3, 13)",wrist,3
Dummy Regressor,1.9402,5.4314,2.3273,-0.0059,0.7144,0.7214,0.075,"(1, 3, 13)",wrist,3
K Neighbors Regressor,1.951,5.9949,2.4448,-0.1128,0.7312,0.7136,0.077,"(1, 3, 13)",wrist,3
Passive Aggressive Regressor,2.9178,14.0241,3.6061,-1.69,0.9294,1.4307,0.073,"(1, 3, 13)",wrist,3
Least Angle Regression,12.1823,465.1838,16.1293,-78.8601,1.4307,5.8585,0.077,"(1, 3, 13)",wrist,3
Extra Trees Regressor,1.4809,3.8814,1.9661,0.3331,0.6141,0.4714,0.135,"(1, 3, 15)",wrist,3
Random Forest Regressor,1.5142,3.9727,1.9893,0.3181,0.6191,0.4801,0.238,"(1, 3, 15)",wrist,3
Light Gradient Boosting Machine,1.5322,4.1068,2.0215,0.294,0.6237,0.5073,0.119,"(1, 3, 15)",wrist,3
Gradient Boosting Regressor,1.634,4.3894,2.0907,0.2464,0.647,0.5323,0.18,"(1, 3, 15)",wrist,3
Linear Regression,1.8047,5.1736,2.2728,0.1093,0.6886,0.6233,0.078,"(1, 3, 15)",wrist,3
Huber Regressor,1.8461,5.4897,2.3408,0.0554,0.6903,0.596,0.078,"(1, 3, 15)",wrist,3
Ridge Regression,1.8542,5.3034,2.3015,0.0868,0.7028,0.6391,0.089,"(1, 3, 15)",wrist,3
Bayesian Ridge,1.871,5.3486,2.3112,0.0789,0.7078,0.6493,0.078,"(1, 3, 15)",wrist,3
Elastic Net,1.9279,5.4942,2.343,0.0536,0.7232,0.6727,0.094,"(1, 3, 15)",wrist,3
Lasso Least Angle Regression,1.9287,5.4968,2.3434,0.0534,0.7233,0.6719,0.079,"(1, 3, 15)",wrist,3
Lasso Regression,1.9287,5.4968,2.3434,0.0534,0.7233,0.6719,0.085,"(1, 3, 15)",wrist,3
AdaBoost Regressor,1.9294,5.3093,2.3029,0.0848,0.7507,0.75,0.099,"(1, 3, 15)",wrist,3
Decision Tree Regressor,1.9451,7.7603,2.7767,-0.3355,0.8268,0.7076,0.083,"(1, 3, 15)",wrist,3
Orthogonal Matching Pursuit,1.9511,5.7637,2.3985,0.0104,0.734,0.6638,0.074,"(1, 3, 15)",wrist,3
K Neighbors Regressor,1.97,6.1696,2.4809,-0.0625,0.744,0.6841,0.079,"(1, 3, 15)",wrist,3
Dummy Regressor,1.9994,5.861,2.4184,-0.0058,0.7393,0.7063,0.091,"(1, 3, 15)",wrist,3
Passive Aggressive Regressor,2.8125,12.765,3.4737,-1.2758,0.9227,1.2413,0.077,"(1, 3, 15)",wrist,3
Least Angle Regression,4.1365,68.2411,5.4575,-10.5532,0.9569,1.9447,0.079,"(1, 3, 15)",wrist,3
Extra Trees Regressor,1.391,3.4013,1.8405,0.3748,0.5774,0.4639,0.142,"(1, 3, 16)",wrist,3
Random Forest Regressor,1.454,3.6383,1.9026,0.3323,0.5956,0.4855,0.266,"(1, 3, 16)",wrist,3
Light Gradient Boosting Machine,1.4612,3.7983,1.9441,0.3027,0.5965,0.5106,0.106,"(1, 3, 16)",wrist,3
Gradient Boosting Regressor,1.5635,3.9813,1.9915,0.2679,0.6201,0.5398,0.175,"(1, 3, 16)",wrist,3
Linear Regression,1.7552,4.8513,2.1983,0.1079,0.6698,0.6304,0.081,"(1, 3, 16)",wrist,3
Ridge Regression,1.7948,4.9278,2.216,0.0946,0.6819,0.6385,0.074,"(1, 3, 16)",wrist,3
Huber Regressor,1.7982,5.1716,2.2691,0.0509,0.6752,0.5943,0.082,"(1, 3, 16)",wrist,3
Bayesian Ridge,1.8099,4.9739,2.2263,0.0863,0.6869,0.6434,0.08,"(1, 3, 16)",wrist,3
Decision Tree Regressor,1.8326,6.7234,2.5805,-0.2349,0.7897,0.6908,0.083,"(1, 3, 16)",wrist,3
Lasso Least Angle Regression,1.8943,5.2507,2.2889,0.034,0.7111,0.6698,0.082,"(1, 3, 16)",wrist,3
Lasso Regression,1.8943,5.2506,2.2889,0.034,0.7111,0.6698,0.081,"(1, 3, 16)",wrist,3
Elastic Net,1.8947,5.2472,2.2882,0.0345,0.7111,0.6706,0.081,"(1, 3, 16)",wrist,3
Orthogonal Matching Pursuit,1.8957,5.3763,2.3153,0.0126,0.7148,0.663,0.088,"(1, 3, 16)",wrist,3
AdaBoost Regressor,1.904,5.0561,2.2465,0.0672,0.7334,0.7682,0.109,"(1, 3, 16)",wrist,3
K Neighbors Regressor,1.9481,5.8694,2.4209,-0.082,0.7307,0.6812,0.078,"(1, 3, 16)",wrist,3
Dummy Regressor,1.95,5.4732,2.3364,-0.0057,0.7197,0.7125,0.085,"(1, 3, 16)",wrist,3
Passive Aggressive Regressor,2.3066,8.5232,2.8795,-0.5408,0.8428,0.82,0.082,"(1, 3, 16)",wrist,3
Least Angle Regression,2.7303,13.1734,3.4813,-1.4057,0.8324,1.1549,0.077,"(1, 3, 16)",wrist,3
Extra Trees Regressor,1.5271,4.0203,2.0014,0.3201,0.6119,0.4938,0.146,"(1, 3, 17)",wrist,3
Random Forest Regressor,1.5784,4.1915,2.0442,0.2915,0.6251,0.5138,0.241,"(1, 3, 17)",wrist,3
Light Gradient Boosting Machine,1.5997,4.4227,2.0988,0.2513,0.6301,0.5474,0.112,"(1, 3, 17)",wrist,3
Gradient Boosting Regressor,1.6899,4.6461,2.1529,0.2122,0.6512,0.5648,0.175,"(1, 3, 17)",wrist,3
Linear Regression,1.8554,5.3749,2.3156,0.0918,0.6967,0.6439,0.089,"(1, 3, 17)",wrist,3
Ridge Regression,1.9111,5.5072,2.3431,0.0711,0.713,0.6579,0.084,"(1, 3, 17)",wrist,3
Huber Regressor,1.927,5.854,2.4155,0.0132,0.7091,0.6128,0.109,"(1, 3, 17)",wrist,3
Bayesian Ridge,1.9392,5.625,2.368,0.0515,0.7203,0.673,0.098,"(1, 3, 17)",wrist,3
Elastic Net,1.9968,5.7816,2.4018,0.0242,0.7347,0.693,0.077,"(1, 3, 17)",wrist,3
Lasso Least Angle Regression,1.9975,5.7846,2.4024,0.0237,0.7348,0.6924,0.084,"(1, 3, 17)",wrist,3
Lasso Regression,1.9975,5.7846,2.4024,0.0237,0.7348,0.6924,0.084,"(1, 3, 17)",wrist,3
Orthogonal Matching Pursuit,2.0077,5.9021,2.4266,0.0042,0.7392,0.6884,0.091,"(1, 3, 17)",wrist,3
Decision Tree Regressor,2.015,8.0193,2.8231,-0.3503,0.8247,0.731,0.091,"(1, 3, 17)",wrist,3
AdaBoost Regressor,2.0184,5.6171,2.3679,0.0486,0.7623,0.7916,0.11,"(1, 3, 17)",wrist,3
Dummy Regressor,2.0468,5.9868,2.4437,-0.0092,0.7437,0.7277,0.082,"(1, 3, 17)",wrist,3
K Neighbors Regressor,2.0648,6.6382,2.5758,-0.1321,0.761,0.7164,0.091,"(1, 3, 17)",wrist,3
Passive Aggressive Regressor,2.941,15.5258,3.6456,-1.7094,0.9257,1.2749,0.11,"(1, 3, 17)",wrist,3
Least Angle Regression,4.7279,43.8263,6.2098,-6.4414,1.0608,2.0645,0.084,"(1, 3, 17)",wrist,3
Extra Trees Regressor,1.6516,4.4813,2.1138,0.296,0.614,0.5132,0.146,"(1, 4, 5)",wrist,3
Light Gradient Boosting Machine,1.7133,4.8691,2.2031,0.234,0.6245,0.5511,0.111,"(1, 4, 5)",wrist,3
Random Forest Regressor,1.7153,4.7532,2.1785,0.2517,0.6288,0.5338,0.262,"(1, 4, 5)",wrist,3
Gradient Boosting Regressor,1.7881,4.9755,2.2275,0.2178,0.6419,0.5819,0.18,"(1, 4, 5)",wrist,3
Linear Regression,1.9547,5.6625,2.3761,0.1118,0.6845,0.6483,0.089,"(1, 4, 5)",wrist,3
Ridge Regression,2.044,6.01,2.4487,0.0568,0.7006,0.6756,0.088,"(1, 4, 5)",wrist,3
Bayesian Ridge,2.053,6.0426,2.4554,0.0518,0.7023,0.678,0.098,"(1, 4, 5)",wrist,3
Huber Regressor,2.0619,6.2175,2.4905,0.0243,0.6999,0.655,0.086,"(1, 4, 5)",wrist,3
Elastic Net,2.0729,6.1893,2.4858,0.0278,0.712,0.6854,0.087,"(1, 4, 5)",wrist,3
Lasso Least Angle Regression,2.0758,6.1918,2.4863,0.0275,0.712,0.6861,0.095,"(1, 4, 5)",wrist,3
Lasso Regression,2.0758,6.1918,2.4863,0.0275,0.712,0.6861,0.085,"(1, 4, 5)",wrist,3
AdaBoost Regressor,2.0776,6.0208,2.4517,0.0542,0.7284,0.7568,0.111,"(1, 4, 5)",wrist,3
Orthogonal Matching Pursuit,2.1099,6.3019,2.5083,0.0104,0.7143,0.6954,0.089,"(1, 4, 5)",wrist,3
Dummy Regressor,2.1379,6.3948,2.5273,-0.0049,0.7194,0.722,0.088,"(1, 4, 5)",wrist,3
K Neighbors Regressor,2.2033,7.2822,2.6947,-0.1444,0.7406,0.7346,0.087,"(1, 4, 5)",wrist,3
Decision Tree Regressor,2.241,9.5185,3.0764,-0.4994,0.8476,0.7445,0.098,"(1, 4, 5)",wrist,3
Passive Aggressive Regressor,2.3142,8.2907,2.8725,-0.2999,0.7408,0.6542,0.094,"(1, 4, 5)",wrist,3
Least Angle Regression,746.7825,9209613.1139,1004.9507,-1462725.1808,2.0208,285.2646,0.094,"(1, 4, 5)",wrist,3
Extra Trees Regressor,1.486,3.7438,1.9321,0.3481,0.5964,0.4739,0.155,"(1, 4, 6)",wrist,3
Random Forest Regressor,1.5369,3.9388,1.9808,0.3154,0.6103,0.5003,0.259,"(1, 4, 6)",wrist,3
Light Gradient Boosting Machine,1.5649,4.0814,2.0163,0.2896,0.6115,0.5338,0.114,"(1, 4, 6)",wrist,3
Gradient Boosting Regressor,1.6244,4.1894,2.0446,0.2709,0.6304,0.536,0.206,"(1, 4, 6)",wrist,3
Linear Regression,1.8323,5.0511,2.2453,0.1211,0.6803,0.6358,0.086,"(1, 4, 6)",wrist,3
Ridge Regression,1.9127,5.3508,2.3105,0.0694,0.7016,0.6533,0.087,"(1, 4, 6)",wrist,3
Huber Regressor,1.927,5.5782,2.3586,0.0304,0.6976,0.6265,0.092,"(1, 4, 6)",wrist,3
Bayesian Ridge,1.9289,5.4355,2.3287,0.0552,0.7069,0.66,0.09,"(1, 4, 6)",wrist,3
AdaBoost Regressor,1.964,5.4374,2.3296,0.0536,0.7444,0.7364,0.101,"(1, 4, 6)",wrist,3
Lasso Least Angle Regression,1.9807,5.6426,2.3731,0.0191,0.7253,0.6665,0.088,"(1, 4, 6)",wrist,3
Lasso Regression,1.9807,5.6426,2.3731,0.0191,0.7253,0.6665,0.09,"(1, 4, 6)",wrist,3
Elastic Net,1.9809,5.6393,2.3724,0.0197,0.7252,0.6673,0.087,"(1, 4, 6)",wrist,3
Orthogonal Matching Pursuit,1.9932,5.7102,2.3873,0.0073,0.7275,0.6671,0.091,"(1, 4, 6)",wrist,3
Dummy Regressor,2.0135,5.7956,2.4053,-0.0079,0.7311,0.6957,0.09,"(1, 4, 6)",wrist,3
K Neighbors Regressor,2.0664,6.4598,2.5384,-0.1243,0.7533,0.6972,0.1,"(1, 4, 6)",wrist,3
Decision Tree Regressor,2.07,8.2749,2.8712,-0.4503,0.8409,0.7417,0.088,"(1, 4, 6)",wrist,3
Passive Aggressive Regressor,2.9559,15.0028,3.6332,-1.6136,0.9423,1.2738,0.088,"(1, 4, 6)",wrist,3
Least Angle Regression,12.4353,1271.9065,15.3114,-211.2732,1.1684,5.0015,0.089,"(1, 4, 6)",wrist,3
Extra Trees Regressor,1.6228,4.3068,2.0746,0.3366,0.6236,0.5053,0.155,"(1, 4, 8)",wrist,3
Light Gradient Boosting Machine,1.679,4.7071,2.1669,0.2737,0.6365,0.5451,0.144,"(1, 4, 8)",wrist,3
Random Forest Regressor,1.681,4.5581,2.1336,0.2974,0.6417,0.5252,0.265,"(1, 4, 8)",wrist,3
